Customer ID;Age;Gender;Location;Subscription Status;Previous Purchases;Preferred Payment Method;Frequency of Purchases
6100;55;Male;Kentucky;Yes;14;Venmo;Fortnightly
8796;19;Male;Maine;Yes;2;Cash;Fortnightly
7986;50;Male;Massachusetts;Yes;23;Credit Card;Weekly
3619;21;Male;Rhode Island;Yes;49;PayPal;Weekly
8578;45;Male;Oregon;Yes;31;PayPal;Annually
4327;46;Male;Wyoming;Yes;14;Venmo;Weekly
1110;63;Male;Montana;Yes;49;Cash;Quarterly
8991;27;Male;Louisiana;Yes;19;Credit Card;Weekly
3256;26;Male;West Virginia;Yes;8;Venmo;Annually
6078;57;Male;Missouri;Yes;99999;Cash;Quarterly
2505;53;Male;Arkansas;Yes;26;Bank Transfer;Bi-Weekly
5128;30;Male;Hawaii;Yes;10;Bank Transfer;Fortnightly
6657;61;Male;Delaware;Yes;37;Venmo;Fortnightly
9553;65;Male;New Hampshire;Yes;31;PayPal;Weekly
6683;64;Male;New York;Yes;34;Debit Card;Weekly
1331;64;Male;Rhode Island;Yes;8;PayPal;Monthly
5014;25;Male;Alabama;Yes;44;Debit Card;Bi-Weekly
1994;53;Male;Mississippi;Yes;36;Venmo;Quarterly
2918;52;Male;Montana;Yes;17;Cash;Weekly
2969;66;Male;Rhode Island;Yes;46;Debit Card;Bi-Weekly
2495;21;Male;Louisiana;Yes;50;Cash;Every 3 Months
6674;31;Male;North Carolina;Yes;22;Debit Card;Quarterly
3953;56;Male;California;Yes;99999;Debit Card;Annually
5714;31;Male;Oklahoma;Yes;40;Credit Card;Weekly
9915;18;Male;Florida;Yes;16;Debit Card;Weekly
2615;18;Male;Texas;Yes;14;PayPal;Annually
3523;38;Male;Nevada;Yes;99999;Credit Card;Annually
5224;56;Male;Kentucky;Yes;7;Bank Transfer;Every 3 Months
7484;54;Male;North Carolina;Yes;41;PayPal;Every 3 Months
5895;31;Male;Wyoming;Yes;14;Credit Card;Weekly
1521;57;Male;North Carolina;Yes;16;Credit Card;Monthly
4858;33;Male;West Virginia;Yes;45;Venmo;Monthly
4978;36;Male;Kansas;Yes;37;Venmo;Annually
1958;54;Male;Colorado;Yes;45;Cash;Quarterly
2653;36;Male;North Dakota;Yes;38;PayPal;Quarterly
1547;54;Male;Massachusetts;Yes;48;Credit Card;Bi-Weekly
8914;35;Male;Illinois;Yes;44;PayPal;Fortnightly
6897;35;Male;Indiana;Yes;10;PayPal;Weekly
2109;29;Male;Florida;Yes;44;Venmo;Every 3 Months
9811;70;Male;Arizona;Yes;18;Credit Card;Monthly
8500;69;Male;Louisiana;Yes;31;Debit Card;Quarterly
6367;67;Male;Alaska;Yes;40;Venmo;Annually
3732;20;Male;Tennessee;Yes;15;PayPal;Annually
9095;25;Male;Ohio;Yes;19;PayPal;Fortnightly
8174;39;Male;Kentucky;Yes;45;PayPal;Weekly
5198;50;Male;Tennessee;Yes;25;PayPal;Annually
6665;57;Male;California;Yes;45;Cash;Quarterly
6534;55;Male;Montana;Yes;36;Cash;Weekly
2226;42;Male;Nevada;Yes;38;Cash;Monthly
5699;68;Male;New Jersey;Yes;34;Debit Card;Bi-Weekly
2077;49;Male;Maryland;Yes;39;Debit Card;Bi-Weekly
2660;59;Male;Vermont;Yes;7;Credit Card;Quarterly
8474;42;Male;Alaska;Yes;26;Credit Card;Weekly
1349;29;Male;Mississippi;Yes;35;Credit Card;Weekly
6034;47;Male;New Mexico;Yes;35;Debit Card;Bi-Weekly
5781;40;Male;South Carolina;Yes;49;Credit Card;Annually
8365;41;Male;Mississippi;Yes;46;Credit Card;Weekly
7878;21;Male;West Virginia;Yes;17;Debit Card;Fortnightly
9247;69;Male;Missouri;Yes;29;Venmo;Monthly
4856;63;Male;Louisiana;Yes;4;Debit Card;Weekly
8699;50;Male;Idaho;Yes;17;Cash;Weekly
6609;55;Male;Texas;Yes;21;Credit Card;Every 3 Months
6373;30;Male;Mississippi;Yes;31;Credit Card;Fortnightly
9071;33;Male;Arizona;Yes;43;Credit Card;Weekly
2803;65;Male;Alabama;Yes;18;Debit Card;Fortnightly
8909;65;Male;New Jersey;Yes;44;Venmo;Every 3 Months
4338;31;Male;Pennsylvania;Yes;3;Venmo;Every 3 Months
2566;45;Male;Connecticut;Yes;49;Debit Card;Monthly
9088;57;Male;Utah;Yes;21;Cash;Every 3 Months
2699;48;Male;Tennessee;Yes;5;Cash;Weekly
2730;22;Male;Alabama;Yes;32;Debit Card;Every 3 Months
4687;36;Male;Virginia;Yes;34;Bank Transfer;Annually
1236;18;Male;Georgia;Yes;21;Bank Transfer;Every 3 Months
1542;48;Male;Hawaii;Yes;43;Bank Transfer;Bi-Weekly
1928;49;Male;Indiana;Yes;3;Cash;Monthly
3855;64;Male;Utah;Yes;21;Credit Card;Annually
3965;50;Male;Delaware;Yes;32;Venmo;Monthly
3216;22;Male;Delaware;Yes;36;Debit Card;Fortnightly
1814;50;Male;Nebraska;Yes;50;Venmo;Fortnightly
3504;38;Male;Iowa;Yes;43;Bank Transfer;Every 3 Months
6826;19;Male;New York;Yes;24;Credit Card;Every 3 Months
1191;67;Male;Virginia;Yes;36;Credit Card;Every 3 Months
5893;19;Male;Georgia;Yes;21;Credit Card;Every 3 Months
2619;36;Male;Texas;Yes;34;Bank Transfer;Weekly
3175;52;Male;Arizona;Yes;42;Bank Transfer;Every 3 Months
8002;53;Male;New Mexico;Yes;2;Debit Card;Bi-Weekly
1102;24;Male;Nevada;Yes;47;Cash;Bi-Weekly
1594;52;Male;Ohio;Yes;44;Debit Card;Fortnightly
7900;33;Male;Wyoming;Yes;35;Credit Card;Monthly
1355;47;Male;California;Yes;15;Cash;Quarterly
1954;25;Male;South Carolina;Yes;29;Credit Card;Monthly
8675;44;Male;South Carolina;Yes;18;Credit Card;Every 3 Months
8535;61;Male;Texas;Yes;13;Venmo;Every 3 Months
1268;37;Male;Florida;Yes;46;Credit Card;Weekly
3653;58;Male;Nevada;Yes;28;Credit Card;Weekly
1321;37;Male;Missouri;Yes;48;PayPal;Monthly
5839;32;Male;Delaware;Yes;99999;Venmo;Every 3 Months
2114;21;Male;Virginia;Yes;37;Cash;Annually
1796;20;Male;New York;Yes;99999;Bank Transfer;Annually
9944;26;Male;Missouri;Yes;33;Debit Card;Quarterly
9615;62;Male;South Dakota;Yes;31;Cash;Fortnightly
8492;27;Male;North Dakota;Yes;50;Credit Card;Bi-Weekly
5538;51;Male;Oklahoma;Yes;35;Credit Card;Quarterly
5560;54;Male;West Virginia;Yes;22;Venmo;Bi-Weekly
7358;55;Male;New Hampshire;Yes;1;PayPal;Monthly
7438;69;Male;New York;Yes;4;Bank Transfer;Annually
5755;64;Male;Minnesota;Yes;31;Credit Card;Monthly
8682;28;Male;Maryland;Yes;46;PayPal;Fortnightly
7315;70;Male;Montana;Yes;32;Bank Transfer;Bi-Weekly
2305;58;Male;Alabama;Yes;43;Bank Transfer;Fortnightly
5067;56;Male;New York;Yes;26;Venmo;Fortnightly
4133;26;Male;Massachusetts;Yes;9;Credit Card;Annually
7179;37;Male;Florida;Yes;28;PayPal;Bi-Weekly
3421;44;Male;New Jersey;Yes;20;PayPal;Quarterly
1487;70;Male;Massachusetts;Yes;9;Cash;Weekly
4067;53;Male;Wyoming;Yes;48;Debit Card;Every 3 Months
7153;55;Male;Virginia;Yes;12;Venmo;Annually
9018;50;Male;South Dakota;Yes;29;Cash;Fortnightly
3490;50;Male;Kentucky;Yes;27;Cash;Bi-Weekly
7412;38;Male;Wyoming;Yes;44;Cash;Annually
6166;64;Male;West Virginia;Yes;32;Bank Transfer;Annually
6519;19;Male;Virginia;Yes;11;Cash;Fortnightly
8805;40;Male;Washington;Yes;44;Cash;Fortnightly
2777;57;Male;Louisiana;Yes;46;Cash;Weekly
6244;44;Male;Nevada;Yes;50;PayPal;Annually
8043;49;Male;California;Yes;45;Venmo;Every 3 Months
3095;43;Male;Mississippi;Yes;99999;Cash;Every 3 Months
8372;24;Male;Mississippi;Yes;26;Credit Card;Weekly
6272;20;Male;California;Yes;21;Credit Card;Fortnightly
9875;24;Male;Pennsylvania;Yes;49;PayPal;Bi-Weekly
4150;44;Male;Kentucky;Yes;99999;PayPal;Fortnightly
5124;28;Male;Maine;Yes;46;Credit Card;Weekly
7857;30;Male;New Mexico;Yes;42;PayPal;Weekly
3518;52;Male;Montana;Yes;25;Venmo;Annually
8970;43;Male;Texas;Yes;25;Cash;Monthly
8935;43;Male;Kansas;Yes;12;PayPal;Quarterly
8077;39;Male;South Carolina;Yes;4;Debit Card;Quarterly
2174;68;Male;Colorado;Yes;38;PayPal;Weekly
3276;68;Male;Georgia;Yes;42;Bank Transfer;Weekly
4737;49;Male;Florida;Yes;30;Venmo;Annually
5887;63;Male;North Carolina;Yes;50;Credit Card;Weekly
3097;56;Male;Virginia;Yes;45;PayPal;Weekly
2335;37;Male;Nebraska;Yes;33;Credit Card;Fortnightly
6283;30;Male;Missouri;Yes;25;PayPal;Quarterly
2031;19;Male;New Jersey;Yes;99999;Cash;Monthly
5931;24;Male;Missouri;Yes;44;Debit Card;Quarterly
4010;52;Male;Colorado;Yes;21;Venmo;Fortnightly
3837;63;Male;Idaho;Yes;31;Bank Transfer;Fortnightly
7453;37;Male;Wyoming;Yes;47;Debit Card;Annually
8493;38;Male;Delaware;Yes;14;PayPal;Monthly
6547;35;Male;California;Yes;17;Debit Card;Every 3 Months
1698;28;Male;North Dakota;Yes;3;Venmo;Annually
2341;30;Male;South Carolina;Yes;42;Venmo;Annually
4929;69;Male;North Carolina;Yes;22;Debit Card;Annually
1666;41;Male;Oklahoma;Yes;21;Venmo;Quarterly
7050;63;Male;Maine;Yes;21;Bank Transfer;Quarterly
8766;35;Male;Missouri;Yes;40;Debit Card;Annually
9324;36;Male;Vermont;Yes;99999;Bank Transfer;Fortnightly
9739;25;Male;Connecticut;Yes;50;Bank Transfer;Monthly
5999;58;Male;New Hampshire;Yes;39;Bank Transfer;Every 3 Months
4705;27;Male;Texas;Yes;34;Venmo;Monthly
8004;65;Male;North Dakota;Yes;29;Venmo;Fortnightly
8258;54;Male;California;Yes;31;PayPal;Bi-Weekly
9497;54;Male;Virginia;Yes;8;Debit Card;Weekly
6140;59;Male;Delaware;Yes;5;Credit Card;Fortnightly
4292;42;Male;Kentucky;Yes;7;Cash;Monthly
5314;46;Male;Delaware;Yes;30;Cash;Monthly
3136;33;Male;Arkansas;Yes;14;Credit Card;Every 3 Months
5015;34;Male;Louisiana;Yes;5;Cash;Fortnightly
3891;27;Male;Nevada;Yes;3;PayPal;Every 3 Months
5946;52;Male;Wyoming;Yes;46;Venmo;Bi-Weekly
