Customer ID%Item Purchased%Category%Purchase Amount (USD)%Size%Color%Season%Review Rating%Payment Method%Shipping Type%Discount Applied%Promo Code Used
2055%Pants%Clothing%36%XL%Silver%Winter%4%Credit Card%Store Pickup%No%No
1366%Gloves%Accessories%99999%M%Magenta%Spring%99999%Venmo%Next Day Air%Yes%Yes
8647%Jacket%Outerwear%51%M%Black%Spring%4,6%PayPal%Free Shipping%Yes%Yes
4769%Sunglasses%Accessories%27%M%Olive%Spring%4,9%Venmo%Express%No%No
3120%Boots%Footwear%56%M%Olive%Summer%3,2%PayPal%Standard%Yes%Yes
5140%Scarf%Accessories%80%L%Teal%Summer%2,8%Cash%Store Pickup%No%No
9258%Belt%Accessories%63%M%Blue%Fall%3,2%Debit Card%Next Day Air%No%No
3790%Jewelry%Accessories%34%M%Blue%Winter%4,8%Debit Card%Free Shipping%No%No
3074%Pants%Clothing%66%M%Teal%Summer%4,4%PayPal%Store Pickup%No%No
7194%Shirt%Clothing%64%M%Silver%Summer%4,5%Credit Card%Standard%Yes%Yes
2751%Scarf%Accessories%35%M%Orange%Winter%3,6%Bank Transfer%Express%No%No
7243%Sweater%Clothing%61%%Teal%Spring%3,8%Credit Card%Express%No%No
9715%Sunglasses%Accessories%84%L%Gray%Fall%4,9%PayPal%Free Shipping%Yes%Yes
6290%Shoes%Footwear%40%L%Black%Spring%2,7%%Store Pickup%No%No
7708%Pants%Clothing%77%M%Brown%Winter%3,3%PayPal%Next Day Air%No%No
7491%Coat%Outerwear%93%L%Silver%Summer%4,6%Cash%Store Pickup%Yes%Yes
9554%Coat%Outerwear%43%L%Magenta%Fall%4,7%PayPal%Next Day Air%Yes%Yes
9037%Sneakers%Footwear%100%M%Yellow%Fall%4%PayPal%Store Pickup%Yes%Yes
2494%Shorts%Clothing%96%L%Turquoise%Winter%2,6%Bank Transfer%Store Pickup%No%No
3189%Sweater%Clothing%99999%M%Olive%Summer%99999%Bank Transfer%2-Day Shipping%Yes%Yes
5390%Jeans%Clothing%41%M%Gold%Fall%4,3%Venmo%Store Pickup%No%No
5622%Backpack%Accessories%99%S%Blue%Fall%3,4%Credit Card%Free Shipping%No%No
2980%Sweater%Clothing%42%L%Peach%Winter%4,4%Debit Card%Next Day Air%No%No
7529%Blouse%Clothing%37%L%Yellow%Spring%4,9%Venmo%Store Pickup%Yes%Yes
6701%Shorts%Clothing%44%L%Violet%Winter%3,2%%Express%No%No
6039%Skirt%Clothing%65%L%Teal%Summer%3,2%PayPal%Free Shipping%No%No
7391%Jeans%Clothing%55%M%Violet%Winter%3,7%PayPal%Free Shipping%No%No
3210%Sweater%Clothing%39%M%White%%3,2%Venmo%Free Shipping%No%No
6038%Socks%Clothing%53%M%Olive%Summer%4,5%Venmo%2-Day Shipping%No%No
3400%Shorts%Clothing%100%M%Charcoal%Summer%2,6%Debit Card%2-Day Shipping%Yes%Yes
4210%Backpack%Accessories%90%M%Cyan%Winter%4,2%Credit Card%Free Shipping%No%No
6166%Hat%Accessories%84%L%Red%Summer%4%PayPal%Express%Yes%Yes
8398%Belt%Accessories%93%XL%Charcoal%Winter%4,1%Venmo%Standard%Yes%Yes
3055%Scarf%Accessories%58%L%Beige%Winter%3,4%Venmo%Standard%Yes%Yes
1698%Sunglasses%Accessories%47%L%Turquoise%Fall%4,5%Debit Card%Next Day Air%Yes%Yes
3146%Dress%Clothing%67%L%Gold%Spring%3%Cash%Free Shipping%Yes%Yes
9289%Gloves%Accessories%84%M%Violet%Fall%2,9%Credit Card%Store Pickup%No%No
2803%Boots%Footwear%83%S%Green%Fall%4,8%PayPal%Standard%Yes%Yes
4999%Sunglasses%Accessories%99999%M%Purple%Fall%99999%Bank Transfer%Free Shipping%No%No
7329%T-shirt%Clothing%99%M%Charcoal%Spring%3,5%Bank Transfer%Express%Yes%Yes
4579%Jewelry%Accessories%31%M%Pink%Summer%4,3%Cash%Express%Yes%Yes
%Belt%Accessories%82%S%Pink%Summer%4,5%Debit Card%Next Day Air%No%No
8871%Shoes%Footwear%90%L%Beige%Spring%4,7%Bank Transfer%Standard%Yes%Yes
4464%Pants%Clothing%97%S%Maroon%Winter%4,9%Debit Card%2-Day Shipping%Yes%Yes
7398%Pants%Clothing%47%L%Peach%Fall%3,2%Venmo%Store Pickup%No%No
3536%Belt%Accessories%92%L%Blue%Winter%3,3%Debit Card%Free Shipping%No%No
4495%Hat%Accessories%38%M%Maroon%Summer%4,3%Venmo%Standard%Yes%Yes
3154%Shirt%Clothing%87%M%Teal%Fall%3,9%Credit Card%2-Day Shipping%Yes%Yes
3183%Boots%Footwear%72%L%Gray%Fall%4,9%Debit Card%Store Pickup%No%No
9053%Shoes%Footwear%65%L%Teal%Summer%3,7%Venmo%Store Pickup%Yes%Yes
2530%Handbag%Accessories%49%%Lavender%Winter%3,3%Cash%Free Shipping%No%No
7719%Sandals%Footwear%83%M%Gray%Spring%4,3%Cash%Store Pickup%No%No
5437%Pants%Clothing%83%S%Lavender%Summer%4,5%Credit Card%Next Day Air%Yes%Yes
3813%Pants%Clothing%28%M%Cyan%Fall%3,4%Credit Card%Express%No%No
9035%Dress%Clothing%%M%Charcoal%Spring%4,8%Debit Card%Free Shipping%No%No
3619%Sandals%Footwear%90%M%Maroon%Spring%3,5%PayPal%Next Day Air%Yes%Yes
7833%Sneakers%Footwear%76%L%Yellow%Spring%4,6%Venmo%Store Pickup%Yes%Yes
5422%Blouse%Clothing%88%S%Silver%Spring%3,3%Credit Card%Next Day Air%Yes%Yes
3888%Hat%Accessories%98%M%Teal%Spring%4,4%Cash%Store Pickup%Yes%Yes
6494%%Clothing%74%L%Gold%Spring%4,4%Venmo%Next Day Air%Yes%Yes
8029%Boots%Footwear%49%L%Silver%Fall%2,7%Debit Card%Free Shipping%Yes%Yes
7212%Shorts%Clothing%52%M%Red%%3,6%Credit Card%Express%No%No
1915%Backpack%Accessories%33%M%Turquoise%Spring%4,1%Venmo%Standard%Yes%Yes
